product_name,weight_raw,weight_value,weight_unit,price_raw,price,discount_price_raw,discount_price,date,time
Nestle Milo Activ-Go Powder Drink Pouch,250 gm,250,gm,৳ 270,270,,,07-11-2022,03:13:57
Horlicks Health And Nutrition Drink Jar,500 gm,500,gm,৳ 420,420,,,07-11-2022,03:13:57
Nestle Milo Activ-Go Chocolate Powder Drink Tin,400 gm,400,gm,৳ 430,430,,,07-11-2022,03:13:57
Biomil Infant Milk Cereal 3 Fruits (6 Months),350 gm,350,gm,৳ 350,350,,,07-11-2022,03:13:57
Biomil Infant Milk Cereal 3 Fruits (6 Months),175 gm,175,gm,৳ 180,180,,,07-11-2022,03:13:57
Nestle Nido Growing Up 1+ Tin,900 gm,900,gm,"৳ 3,129",3129,,,07-11-2022,03:13:57
Nestlé Nido 3+ Growing Up Milk Powder (3-5 Y),350 gm,350,gm,৳ 400,400,,,08-11-2022,02:42:08
Pran Chocolate Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,08-11-2022,02:42:08
Pran Mango Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,08-11-2022,02:42:08
Nestle Milo Activ-Go Powder Drink Pouch,250 gm,250,gm,৳ 270,270,,,08-11-2022,02:42:08
Horlicks Health And Nutrition Drink Jar,500 gm,500,gm,৳ 420,420,,,08-11-2022,02:42:08
Biomil Infant Milk Cereal 3 Fruits (6 Months),350 gm,350,gm,৳ 350,350,,,08-11-2022,02:42:08
Biomil Infant Milk Cereal 3 Fruits (6 Months),175 gm,175,gm,৳ 180,180,,,08-11-2022,02:42:08
Nestle Nido Growing Up 1+ Tin,900 gm,900,gm,"৳ 3,129",3129,,,08-11-2022,02:42:08
Nestlé Nido 3+ Growing Up Milk Powder (3-5 Y),350 gm,350,gm,৳ 400,400,,,09-11-2022,02:39:49
Pran Chocolate Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,09-11-2022,02:39:49
Pran Mango Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,09-11-2022,02:39:49
Nestle Milo Activ-Go Powder Drink Pouch,250 gm,250,gm,৳ 270,270,,,09-11-2022,02:39:49
Horlicks Health And Nutrition Drink Jar,500 gm,500,gm,৳ 420,420,,,09-11-2022,02:39:49
Biomil Infant Milk Cereal 3 Fruits (6 Months),350 gm,350,gm,৳ 350,350,,,09-11-2022,02:39:49
Biomil Infant Milk Cereal 3 Fruits (6 Months),175 gm,175,gm,৳ 180,180,,,09-11-2022,02:39:49
Nestle Nido Growing Up 1+ Tin,900 gm,900,gm,"৳ 3,129",3129,,,09-11-2022,02:39:49
Nestlé Nido 3+ Growing Up Milk Powder (3-5 Y),350 gm,350,gm,৳ 400,400,,,10-11-2022,03:01:28
Pran Chocolate Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,10-11-2022,03:01:28
Pran Mango Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,10-11-2022,03:01:28
Horlicks Health And Nutrition Drink Jar,500 gm,500,gm,৳ 420,420,,,10-11-2022,03:01:28
Nestle Milo Activ-Go Powder Drink Pouch,250 gm,250,gm,৳ 270,270,,,10-11-2022,03:01:28
Biomil Infant Milk Cereal 3 Fruits (6 Months),350 gm,350,gm,৳ 350,350,,,10-11-2022,03:01:28
Biomil Infant Milk Cereal 3 Fruits (6 Months),175 gm,175,gm,৳ 180,180,,,10-11-2022,03:01:28
Nestle Nido Growing Up 1+ Tin,900 gm,900,gm,"৳ 3,129",3129,,,10-11-2022,03:01:28
Nestlé Nido 3+ Growing Up Milk Powder (3-5 Y),350 gm,350,gm,৳ 400,400,,,11-11-2022,02:57:54
Pran Chocolate Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,11-11-2022,02:57:54
Pran Mango Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,11-11-2022,02:57:54
Horlicks Health And Nutrition Drink Jar,500 gm,500,gm,৳ 420,420,,,11-11-2022,02:57:54
Nestle Milo Activ-Go Powder Drink Pouch,250 gm,250,gm,৳ 270,270,,,11-11-2022,02:57:54
Biomil Infant Milk Cereal 3 Fruits (6 Months),350 gm,350,gm,৳ 350,350,,,11-11-2022,02:57:54
Biomil Infant Milk Cereal 3 Fruits (6 Months),175 gm,175,gm,৳ 180,180,,,11-11-2022,02:57:54
Nestle Nido Growing Up 1+ Tin,900 gm,900,gm,"৳ 3,129",3129,,,11-11-2022,02:57:54
Nestlé Nido 3+ Growing Up Milk Powder (3-5 Y),350 gm,350,gm,৳ 400,400,,,12-11-2022,06:38:43
