product_name,weight_raw,weight_value,weight_unit,price_raw,price,discount_price_raw,discount_price,date,time
Chicken Liver Gizzard Mix,1 kg,1,kg,৳ 249,249,৳ 229,229,31-10-2022,05:48:04
Whole Layer Chicken Skin Off (Net Weight ± 50 gm),800 gm,800,gm,৳ 529,529,৳ 459,459,31-10-2022,05:48:04
Broiler Chicken Skin Off ± 50 gm,1 kg,1,kg,৳ 329,329,৳ 319,319,31-10-2022,18:13:14
Cock Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 315,315,৳ 309,309,31-10-2022,18:13:14
Broiler Chicken Skin On ± 50 gm,1 kg,1,kg,৳ 315,315,৳ 285,285,31-10-2022,18:13:14
Roast Chicken ± 10 gm,275 gm,275,gm,৳ 189,189,৳ 179,179,31-10-2022,18:13:14
Bengal Meat Whole Chicken Curry Cut ± 50 gm,1 kg,1,kg,৳ 350,350,,,31-10-2022,18:13:14
Pigeon Meat,each,1,each,৳ 169,169,৳ 159,159,31-10-2022,18:13:14
Whole Deshi Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 479,479,৳ 459,459,31-10-2022,18:13:14
Whole Deshi Duck (Hash) With Skin,900 gm,900,gm,৳ 599,599,৳ 529,529,31-10-2022,18:13:14
Chicken Liver Gizzard Mix,1 kg,1,kg,৳ 249,249,৳ 229,229,31-10-2022,18:13:14
Whole Layer Chicken Skin Off (Net Weight ± 50 gm),800 gm,800,gm,৳ 529,529,৳ 459,459,31-10-2022,18:13:14
Broiler Chicken Skin Off ± 50 gm,1 kg,1,kg,৳ 329,329,৳ 319,319,01-11-2022,04:13:32
Cock Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 315,315,৳ 309,309,01-11-2022,04:13:32
Broiler Chicken Skin On ± 50 gm,1 kg,1,kg,৳ 315,315,৳ 279,279,01-11-2022,04:13:32
Roast Chicken ± 10 gm,275 gm,275,gm,৳ 189,189,৳ 179,179,01-11-2022,04:13:32
Bengal Meat Whole Chicken Curry Cut ± 50 gm,1 kg,1,kg,৳ 350,350,,,01-11-2022,04:13:32
Pigeon Meat,each,1,each,৳ 169,169,৳ 159,159,01-11-2022,04:13:32
Whole Deshi Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 479,479,৳ 459,459,01-11-2022,04:13:32
Whole Deshi Duck (Hash) With Skin,900 gm,900,gm,৳ 599,599,৳ 529,529,01-11-2022,04:13:32
Chicken Liver Gizzard Mix,1 kg,1,kg,৳ 249,249,৳ 229,229,01-11-2022,04:13:32
Whole Layer Chicken Skin Off (Net Weight ± 50 gm),800 gm,800,gm,৳ 529,529,৳ 459,459,01-11-2022,04:13:32
Broiler Chicken Skin Off ± 50 gm,1 kg,1,kg,৳ 315,315,৳ 309,309,01-11-2022,15:50:38
Cock Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 315,315,৳ 299,299,01-11-2022,15:50:38
Broiler Chicken Skin On ± 50 gm,1 kg,1,kg,৳ 279,279,৳ 276,276,01-11-2022,15:50:38
Roast Chicken ± 10 gm,275 gm,275,gm,৳ 189,189,৳ 179,179,01-11-2022,15:50:38
Bengal Meat Whole Chicken Curry Cut ± 50 gm,1 kg,1,kg,৳ 350,350,,,01-11-2022,15:50:38
Pigeon Meat,each,1,each,৳ 169,169,৳ 155,155,01-11-2022,15:50:38
Whole Deshi Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 475,475,৳ 445,445,01-11-2022,15:50:38
Whole Deshi Duck (Hash) With Skin,900 gm,900,gm,৳ 559,559,৳ 545,545,01-11-2022,15:50:38
Chicken Liver Gizzard Mix,1 kg,1,kg,৳ 249,249,৳ 229,229,01-11-2022,15:50:38
Whole Layer Chicken Skin Off (Net Weight ± 50 gm),800 gm,800,gm,৳ 529,529,৳ 449,449,01-11-2022,15:50:38
Broiler Chicken Skin Off ± 50 gm,1 kg,1,kg,৳ 315,315,৳ 309,309,02-11-2022,02:47:22
Cock Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 315,315,৳ 299,299,02-11-2022,02:47:22
Broiler Chicken Skin On ± 50 gm,1 kg,1,kg,৳ 279,279,,,02-11-2022,02:47:22
Roast Chicken ± 10 gm,275 gm,275,gm,৳ 189,189,৳ 179,179,02-11-2022,02:47:22
Pigeon Meat,each,1,each,৳ 169,169,৳ 155,155,02-11-2022,02:47:22
Whole Deshi Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 475,475,৳ 445,445,02-11-2022,02:47:22
Whole Deshi Duck (Hash) With Skin,900 gm,900,gm,৳ 559,559,৳ 545,545,02-11-2022,02:47:22
Chicken Liver Gizzard Mix,1 kg,1,kg,৳ 249,249,৳ 229,229,02-11-2022,02:47:22
Whole Layer Chicken Skin Off (Net Weight ± 50 gm),800 gm,800,gm,৳ 529,529,৳ 449,449,02-11-2022,02:47:22
Broiler Chicken Skin Off ± 50 gm,1 kg,1,kg,৳ 315,315,৳ 309,309,03-11-2022,03:06:49
Cock Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 315,315,৳ 299,299,03-11-2022,03:06:49
Broiler Chicken Skin On ± 50 gm,1 kg,1,kg,৳ 279,279,,,03-11-2022,03:06:49
Roast Chicken ± 10 gm,275 gm,275,gm,৳ 189,189,৳ 179,179,03-11-2022,03:06:49
Pigeon Meat,each,1,each,৳ 169,169,৳ 155,155,03-11-2022,03:06:49
Whole Deshi Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 479,479,৳ 455,455,03-11-2022,03:06:49
Whole Deshi Duck (Hash) With Skin,900 gm,900,gm,৳ 549,549,৳ 545,545,03-11-2022,03:06:49
Chicken Liver Gizzard Mix,1 kg,1,kg,৳ 249,249,৳ 232,232,03-11-2022,03:06:49
Whole Layer Chicken Skin Off (Net Weight ± 50 gm),800 gm,800,gm,৳ 525,525,৳ 439,439,03-11-2022,03:06:49
Broiler Chicken Skin Off ± 50 gm,1 kg,1,kg,৳ 315,315,৳ 307,307,04-11-2022,02:48:22
Cock Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 380,380,৳ 299,299,04-11-2022,02:48:22
Broiler Chicken Skin On ± 50 gm,1 kg,1,kg,৳ 279,279,৳ 272,272,04-11-2022,02:48:22
Roast Chicken ± 10 gm,275 gm,275,gm,৳ 210,210,৳ 179,179,04-11-2022,02:48:22
Pigeon Meat,each,1,each,৳ 169,169,৳ 155,155,04-11-2022,02:48:22
Whole Deshi Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 479,479,৳ 459,459,04-11-2022,02:48:22
Whole Deshi Duck (Hash) With Skin,900 gm,900,gm,৳ 579,579,৳ 545,545,04-11-2022,02:48:22
Chicken Liver Gizzard Mix,1 kg,1,kg,৳ 249,249,৳ 229,229,04-11-2022,02:48:22
Whole Layer Chicken Skin Off (Net Weight ± 50 gm),800 gm,800,gm,৳ 525,525,৳ 429,429,04-11-2022,02:48:22
Broiler Chicken Skin Off ± 50 gm,1 kg,1,kg,৳ 315,315,৳ 305,305,05-11-2022,12:34:57
Cock Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 309,309,৳ 299,299,05-11-2022,12:34:57
Broiler Chicken Skin On ± 50 gm,1 kg,1,kg,৳ 279,279,,,05-11-2022,12:34:57
Roast Chicken ± 10 gm,275 gm,275,gm,৳ 189,189,৳ 179,179,05-11-2022,12:34:57
Pigeon Meat,each,1,each,৳ 169,169,৳ 155,155,05-11-2022,12:34:57
Whole Deshi Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 475,475,৳ 459,459,05-11-2022,12:34:57
Whole Deshi Duck (Hash) With Skin,900 gm,900,gm,৳ 600,600,৳ 525,525,05-11-2022,12:34:57
Chicken Liver Gizzard Mix,1 kg,1,kg,৳ 249,249,৳ 229,229,05-11-2022,12:34:57
Whole Layer Chicken Skin Off (Net Weight ± 50 gm),800 gm,800,gm,৳ 525,525,৳ 439,439,05-11-2022,12:34:57
Broiler Chicken Skin Off ± 50 gm,1 kg,1,kg,৳ 315,315,৳ 301,301,06-11-2022,15:50:53
Cock Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 309,309,৳ 299,299,06-11-2022,15:50:53
Broiler Chicken Skin On ± 50 gm,1 kg,1,kg,৳ 279,279,,,06-11-2022,15:50:53
Roast Chicken ± 10 gm,275 gm,275,gm,৳ 189,189,৳ 179,179,06-11-2022,15:50:53
Bengal Meat Whole Chicken Curry Cut ± 50 gm,1 kg,1,kg,৳ 350,350,,,06-11-2022,15:50:53
Pigeon Meat,each,1,each,৳ 160,160,,,06-11-2022,15:50:53
Whole Deshi Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 495,495,৳ 455,455,06-11-2022,15:50:53
Whole Deshi Duck (Hash) With Skin,900 gm,900,gm,৳ 600,600,৳ 545,545,06-11-2022,15:50:53
Chicken Liver Gizzard Mix,1 kg,1,kg,৳ 249,249,৳ 229,229,06-11-2022,15:50:53
Whole Layer Chicken Skin Off (Net Weight ± 50 gm),800 gm,800,gm,৳ 525,525,৳ 435,435,06-11-2022,15:50:53
Broiler Chicken Skin Off ± 50 gm,1 kg,1,kg,৳ 315,315,৳ 305,305,07-11-2022,03:13:18
Cock Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 309,309,৳ 299,299,07-11-2022,03:13:18
Broiler Chicken Skin On ± 50 gm,1 kg,1,kg,৳ 279,279,,,07-11-2022,03:13:18
Roast Chicken ± 10 gm,275 gm,275,gm,৳ 189,189,৳ 179,179,07-11-2022,03:13:18
Bengal Meat Whole Chicken Curry Cut ± 50 gm,1 kg,1,kg,৳ 350,350,,,07-11-2022,03:13:18
Pigeon Meat,each,1,each,৳ 160,160,৳ 155,155,07-11-2022,03:13:18
Whole Deshi Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 495,495,৳ 455,455,07-11-2022,03:13:18
Whole Deshi Duck (Hash) With Skin,900 gm,900,gm,৳ 600,600,৳ 545,545,07-11-2022,03:13:18
Chicken Liver Gizzard Mix,1 kg,1,kg,৳ 249,249,৳ 229,229,07-11-2022,03:13:18
Whole Layer Chicken Skin Off (Net Weight ± 50 gm),800 gm,800,gm,৳ 525,525,৳ 435,435,07-11-2022,03:13:18
Broiler Chicken Skin Off ± 50 gm,1 kg,1,kg,৳ 315,315,৳ 305,305,08-11-2022,02:41:29
Cock Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 309,309,৳ 289,289,08-11-2022,02:41:29
Broiler Chicken Skin On ± 50 gm,1 kg,1,kg,৳ 279,279,,,08-11-2022,02:41:29
Roast Chicken ± 10 gm,275 gm,275,gm,৳ 189,189,৳ 179,179,08-11-2022,02:41:29
Bengal Meat Whole Chicken Curry Cut ± 50 gm,1 kg,1,kg,৳ 350,350,,,08-11-2022,02:41:29
Pigeon Meat,each,1,each,৳ 170,170,৳ 159,159,08-11-2022,02:41:29
Whole Deshi Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 475,475,৳ 455,455,08-11-2022,02:41:29
Whole Deshi Duck (Hash) With Skin,900 gm,900,gm,৳ 600,600,৳ 525,525,08-11-2022,02:41:29
Chicken Liver Gizzard Mix,1 kg,1,kg,৳ 249,249,৳ 229,229,08-11-2022,02:41:29
Whole Layer Chicken Skin Off (Net Weight ± 50 gm),800 gm,800,gm,৳ 525,525,৳ 419,419,08-11-2022,02:41:29
Broiler Chicken Skin Off ± 50 gm,1 kg,1,kg,৳ 315,315,৳ 305,305,09-11-2022,02:39:09
Cock Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 309,309,,,09-11-2022,02:39:09
Broiler Chicken Skin On ± 50 gm,1 kg,1,kg,৳ 279,279,,,09-11-2022,02:39:09
Roast Chicken ± 10 gm,275 gm,275,gm,৳ 189,189,৳ 179,179,09-11-2022,02:39:09
Bengal Meat Whole Chicken Curry Cut ± 50 gm,1 kg,1,kg,৳ 350,350,,,09-11-2022,02:39:09
Pigeon Meat,each,1,each,৳ 165,165,৳ 159,159,09-11-2022,02:39:09
Whole Deshi Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 475,475,৳ 455,455,09-11-2022,02:39:09
Whole Deshi Duck (Hash) With Skin,900 gm,900,gm,৳ 600,600,৳ 549,549,09-11-2022,02:39:09
Chicken Liver Gizzard Mix,1 kg,1,kg,৳ 249,249,৳ 229,229,09-11-2022,02:39:09
Whole Layer Chicken Skin Off (Net Weight ± 50 gm),800 gm,800,gm,৳ 525,525,৳ 419,419,09-11-2022,02:39:09
Broiler Chicken Skin Off ± 50 gm,1 kg,1,kg,৳ 315,315,৳ 305,305,10-11-2022,03:00:50
Cock Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 309,309,৳ 299,299,10-11-2022,03:00:50
Broiler Chicken Skin On ± 50 gm,1 kg,1,kg,৳ 279,279,৳ 269,269,10-11-2022,03:00:50
Roast Chicken ± 10 gm,275 gm,275,gm,৳ 189,189,৳ 179,179,10-11-2022,03:00:50
Bengal Meat Whole Chicken Curry Cut ± 50 gm,1 kg,1,kg,৳ 350,350,,,10-11-2022,03:00:50
Pigeon Meat,each,1,each,৳ 160,160,৳ 155,155,10-11-2022,03:00:50
Whole Deshi Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 475,475,৳ 459,459,10-11-2022,03:00:50
Whole Deshi Duck (Hash) With Skin,900 gm,900,gm,৳ 600,600,৳ 539,539,10-11-2022,03:00:50
Chicken Liver Gizzard Mix,1 kg,1,kg,৳ 249,249,৳ 229,229,10-11-2022,03:00:50
Whole Layer Chicken Skin Off (Net Weight ± 50 gm),800 gm,800,gm,৳ 525,525,৳ 429,429,10-11-2022,03:00:50
Broiler Chicken Skin Off ± 50 gm,1 kg,1,kg,৳ 315,315,৳ 296,296,11-11-2022,02:57:17
Cock Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 309,309,৳ 279,279,11-11-2022,02:57:17
